cluster,latitude,longitude,accommodates,bedrooms,amenities_count
0,41.902201869574014,12.472415446668451,11.0,4.066666666666666,47.13333333333333
1,41.89036079745118,12.494260908610155,5.129032258064516,2.2580645161290325,21.951612903225808
2,41.74742216263807,12.30552209210431,4.555555555555555,1.8333333333333333,29.444444444444443
3,41.894750349004006,12.483401976520001,2.621212121212121,0.9545454545454546,21.318181818181817
4,41.89279394510187,12.479718744959065,3.097560975609756,1.0,44.0650406504065
5,41.89688039876279,12.47364872585408,5.254901960784314,2.2058823529411766,45.72549019607843
